#{"t_start": 1596842281.8951056, "env_id": null}
r,l,t
-391.0,10,2.313467
-401.0,8,2.327941
-432.0,41,2.392369
-466.0,59,2.487144
-406.0,31,2.810367
-466.0,79,3.051897
-436.0,33,3.286677
-417.0,20,3.350002
-396.0,13,3.39291
-418.0,15,3.441858
-448.0,93,3.710217
-429.0,68,3.841876
-452.0,113,4.113098
-418.0,35,4.183644
-479.0,102,4.432331
-403.0,22,4.472934
-397.0,8,4.489069
-442.0,31,4.627614
-410.0,27,4.678681
-415.0,26,4.728705
-420.0,41,4.808361
